utt_id,wav_path,label_id,is_ood,split
0809a27a507e,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\jane_eyre_18_f000002.wav,11,False,train
7a65ebd98d23,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\wives_and_daughters_15_f000010.wav,11,False,train
118cfca78146,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\wives_and_daughters_06_f000049.wav,11,False,train
b33d3447db99,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\the_sea_fairies_08_f000040.wav,11,False,train
ba564106daf1,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\ozma_of_oz_17_f000015.wav,11,False,train
0ab234cf7e80,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\emerald_city_of_oz_07_f000111.wav,11,False,train
65a519c819ae,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\skyisland_21_baum_64kb_f000091.wav,11,False,train
2a38461ff2ba,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\dorothy_and_wizard_oz_19_f000009.wav,11,False,train
e5284450ff3a,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\skyisland_09_baum_64kb_f000054.wav,11,False,train
90a08710572d,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\northandsouth_48_f000006.wav,11,False,train
6f0403247691,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\silent_bullet_10_f000039.wav,11,False,train
346793d1c51b,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\jane_eyre_27_f000542.wav,11,False,train
6b26555e2fc1,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\jane_eyre_21_f000129.wav,11,False,train
ce199822845a,D:\audio-ST\newww\audio-deepfake-source-tracing\data\MLAADv5\fake\en\tts_models_en_ljspeech_tacotron2-DCA\jane_eyre_27_f000352.wav,11,False,train
